text,size
<url>,110
<hashtag>,43
bird,25
vaccines,23
news,18
shot,17
fda,16
study,15
<user>,14
seasonal,13
health,13
virus,12
approves,12
effectiveness,12
universal,12
usda,11
protection,11
shows,11
seniors,11
avian,11
risk,11
strains,11
response,11
approved,11
research,11
effective,10
tracking,10
work,10
reuters,10
h7n9,10
protects,10
cdc,10
high-dose,10
scientists,10
protect,10
immune,10
h1n1,10
works,10
pandemic,10
;,10
$,10
elderly,10
outbreak,10
adults,10
approval,10
finds,10
older,10
strain,10
season,10