date	yes	no
20121201	11705	7823
20130101	54334	41175
20130201	2712	2244
20130301	812	688
20130401	4709	4336
20130501	3553	3241
20130601	2526	3253
20130701	1836	1769
20130801	3667	3348
20130901	20280	14497
20131001	44952	26725
20131101	26099	15675
20131201	19178	13924
20140101	27859	20920
20140201	8038	6625
20140301	4920	3783
20140401	3920	3777
20140501	2541	2103
20140601	4004	4473
20140701	3068	3458
20140801	4788	4779
20140901	21980	17241
20141001	58909	42856
20141101	27168	22197
20141201	29865	33640
20150101	21332	22502
20150201	6987	9981
20150301	3576	4339
20150401	3891	2923
20150501	3488	3297
20150601	3127	3312
20150701	3622	3196
20150801	6572	6718
20150901	15017	13564
20151001	32031	28073
20151101	18863	15127
20151201	10999	11616
20160101	6017	6057
20160201	4571	4164
20160301	4385	3571
20160401	4060	4875
20160501	3308	3579
20160601	3621	4598
20160701	944	1660